Logger 1,17-10-2024,17:04:10
Date, Time, Meters, Volts
17-10-24, 11:32:32, -0.020, 16.31
17-10-24, 11:32:33, -0.020, 16.31
17-10-24, 11:32:34, -0.020, 16.31
17-10-24, 11:32:35, -0.020, 16.31
17-10-24, 11:32:36, -0.020, 16.31
17-10-24, 11:32:37, -0.020, 16.31
17-10-24, 11:32:38, -0.020, 16.31
17-10-24, 11:32:39, -0.018, 16.31
17-10-24, 11:32:40, -0.020, 16.31
17-10-24, 11:32:41, -0.020, 16.31
17-10-24, 11:32:42, -0.020, 16.31
17-10-24, 11:32:43, -0.020, 16.31
17-10-24, 11:32:44, -0.020, 16.31
17-10-24, 11:32:45, -0.020, 16.31
17-10-24, 11:32:46, -0.020, 16.31
17-10-24, 11:32:47, -0.018, 16.31
17-10-24, 11:32:48, -0.020, 16.31
17-10-24, 11:32:49, -0.020, 16.31
17-10-24, 11:32:50, -0.020, 16.31
17-10-24, 11:32:51, -0.020, 16.31
17-10-24, 11:32:52, -0.020, 16.31
17-10-24, 11:32:53, -0.020, 16.31
17-10-24, 11:32:54, -0.020, 16.31
17-10-24, 11:32:55, -0.020, 16.31
17-10-24, 11:32:56, -0.020, 16.31
17-10-24, 11:32:57, -0.018, 16.31
17-10-24, 11:32:58, -0.020, 16.31
17-10-24, 11:32:59, -0.020, 16.31
17-10-24, 11:33:00, -0.020, 16.31
17-10-24, 11:33:01, -0.020, 16.31
17-10-24, 11:33:02, -0.020, 16.31
17-10-24, 11:33:03, -0.020, 16.31
17-10-24, 11:33:04, -0.020, 16.31
17-10-24, 11:33:05, -0.020, 16.31
17-10-24, 11:33:06, -0.020, 16.31
17-10-24, 11:33:07, -0.020, 16.31
17-10-24, 11:33:08, -0.020, 16.31
17-10-24, 11:33:09, -0.020, 16.31
17-10-24, 11:33:10, -0.020, 16.31
17-10-24, 11:33:11, -0.020, 16.31
17-10-24, 11:33:12, -0.020, 16.31
17-10-24, 11:33:13, -0.020, 16.31
17-10-24, 11:33:14, -0.020, 16.31
17-10-24, 11:33:15, -0.020, 16.31
17-10-24, 11:33:16, -0.020, 16.31
17-10-24, 11:33:17, -0.020, 16.31
17-10-24, 11:33:18, -0.020, 16.31
17-10-24, 11:33:19, -0.020, 16.31
17-10-24, 11:33:20, -0.020, 16.31
17-10-24, 11:33:21, -0.020, 16.31
17-10-24, 11:33:22, -0.020, 16.31
17-10-24, 11:33:23, -0.020, 16.31
17-10-24, 11:33:24, -0.020, 16.31
17-10-24, 11:33:25, -0.020, 16.31
17-10-24, 11:33:26, -0.020, 16.31
17-10-24, 11:33:27, -0.020, 16.31
17-10-24, 11:33:28, -0.020, 16.31
17-10-24, 11:33:29, -0.020, 16.31
17-10-24, 11:33:30, -0.020, 16.31
17-10-24, 11:33:31, -0.020, 16.31
17-10-24, 11:33:32, -0.020, 16.31
17-10-24, 11:33:33, -0.020, 16.31
17-10-24, 11:33:34, -0.020, 16.31
17-10-24, 11:33:35, -0.020, 16.31
17-10-24, 11:33:36, -0.020, 16.31
17-10-24, 11:33:37, -0.018, 16.31
17-10-24, 11:33:38, -0.020, 16.31
17-10-24, 11:33:39, -0.020, 16.31
17-10-24, 11:33:40, -0.020, 16.31
17-10-24, 11:33:41, -0.020, 16.31
17-10-24, 11:33:42, -0.022, 16.31
17-10-24, 11:33:43, -0.020, 16.31
17-10-24, 11:33:44, -0.020, 16.31
17-10-24, 11:33:45, -0.020, 16.31
17-10-24, 11:33:46, -0.022, 16.31
17-10-24, 11:33:47, -0.020, 16.31
17-10-24, 11:33:48, -0.020, 16.31
17-10-24, 11:33:49, -0.020, 16.31
17-10-24, 11:33:50, -0.020, 16.31
17-10-24, 11:33:51, -0.022, 16.31
17-10-24, 11:33:52, -0.018, 16.31
17-10-24, 11:33:53, -0.020, 16.31
17-10-24, 11:33:54, -0.020, 16.31
17-10-24, 11:33:55, -0.020, 16.31
17-10-24, 11:33:56, -0.020, 16.31
17-10-24, 11:33:57, -0.020, 16.31
17-10-24, 11:33:58, -0.022, 16.31
17-10-24, 11:33:59, -0.020, 16.31
17-10-24, 11:34:00, -0.022, 16.31
17-10-24, 11:34:01, -0.020, 16.31
17-10-24, 11:34:02, -0.020, 16.31
17-10-24, 11:34:03, -0.022, 16.31
17-10-24, 11:34:04, -0.022, 16.31
17-10-24, 11:34:05, -0.022, 16.31
17-10-24, 11:34:06, -0.022, 16.31
17-10-24, 11:34:07, -0.022, 16.31
17-10-24, 11:34:08, -0.020, 16.31
17-10-24, 11:34:09, -0.022, 16.31
17-10-24, 11:34:10, -0.022, 16.31
17-10-24, 11:34:11, -0.022, 16.31
17-10-24, 11:34:12, -0.022, 16.31
17-10-24, 11:34:13, -0.022, 16.31
17-10-24, 11:34:14, -0.022, 16.31
17-10-24, 11:34:15, -0.022, 16.31
17-10-24, 11:34:16, -0.022, 16.31
17-10-24, 11:34:17, -0.020, 16.31
17-10-24, 11:34:18, -0.022, 16.31
17-10-24, 11:34:19, -0.022, 16.31
17-10-24, 11:34:20, -0.022, 16.31
17-10-24, 11:34:21, -0.022, 16.31
17-10-24, 11:34:22, -0.022, 16.31
17-10-24, 11:34:23, -0.022, 16.31
17-10-24, 11:34:24, -0.022, 16.31
17-10-24, 11:34:25, -0.022, 16.31
17-10-24, 11:34:26, -0.020, 16.31
17-10-24, 11:34:27, -0.020, 16.31
17-10-24, 11:34:28, -0.022, 16.31
17-10-24, 11:34:29, -0.020, 16.31
17-10-24, 11:34:30, -0.022, 16.31
17-10-24, 11:34:31, -0.022, 16.31
17-10-24, 11:34:32, -0.022, 16.31
17-10-24, 11:34:33, -0.020, 16.31
17-10-24, 11:34:34, -0.022, 16.31
17-10-24, 11:34:35, -0.022, 16.31
17-10-24, 11:34:36, -0.020, 16.31
17-10-24, 11:34:37, -0.022, 16.31
17-10-24, 11:34:38, -0.020, 16.31
17-10-24, 11:34:39, -0.022, 16.31
17-10-24, 11:34:40, -0.022, 16.31
17-10-24, 11:34:41, -0.020, 16.31
17-10-24, 11:34:42, -0.020, 16.31
17-10-24, 11:34:43, -0.022, 16.31
17-10-24, 11:34:44, -0.022, 16.31
17-10-24, 11:34:45, -0.022, 16.31
17-10-24, 11:34:46, -0.022, 16.31
17-10-24, 11:34:47, -0.022, 16.31
17-10-24, 11:34:48, -0.022, 16.31
17-10-24, 11:34:49, -0.022, 16.31
17-10-24, 11:34:50, -0.022, 16.31
17-10-24, 11:34:51, -0.022, 16.31
17-10-24, 11:34:52, -0.022, 16.31
17-10-24, 11:34:53, -0.020, 16.31
17-10-24, 11:34:54, -0.022, 16.31
17-10-24, 11:34:55, -0.020, 16.31
17-10-24, 11:34:56, -0.022, 16.31
17-10-24, 11:34:57, -0.020, 16.31
17-10-24, 11:34:58, -0.020, 16.31
17-10-24, 11:34:59, -0.022, 16.31
17-10-24, 11:35:00, -0.020, 16.31
17-10-24, 11:35:01, -0.020, 16.31
17-10-24, 11:35:02, -0.022, 16.31
17-10-24, 11:35:03, -0.022, 16.31
17-10-24, 11:35:04, -0.020, 16.31
17-10-24, 11:35:05, -0.022, 16.31
17-10-24, 11:35:06, -0.022, 16.31
