Global Logger,1-10-2024,16:25:34
Date, Time, Meters, Volts
1-10-24, 09:00:00, 0.000, 12.27
1-10-24, 09:00:01, 0.000, 12.27
1-10-24, 09:00:02, 0.000, 12.27
1-10-24, 09:00:03, 0.000, 12.27
1-10-24, 09:00:04, 0.000, 12.27
1-10-24, 09:00:05, 0.000, 12.27
1-10-24, 09:00:06, 0.000, 12.27
1-10-24, 09:00:07, 0.000, 12.27
1-10-24, 09:00:08, 0.000, 12.26
1-10-24, 09:00:09, 0.000, 12.26
1-10-24, 09:00:10, 0.000, 12.26
1-10-24, 09:00:11, 0.000, 12.27
1-10-24, 09:00:12, 0.000, 12.27
1-10-24, 09:00:13, 0.000, 12.27
1-10-24, 09:00:14, 0.000, 12.27
1-10-24, 09:00:15, 0.000, 12.27
1-10-24, 09:00:16, 0.000, 12.27
1-10-24, 09:00:17, 0.000, 12.27
1-10-24, 09:00:18, 0.000, 12.27
1-10-24, 09:00:19, -0.003, 12.27
1-10-24, 09:00:20, 0.000, 12.27
1-10-24, 09:00:21, 0.000, 12.27
1-10-24, 09:00:22, 0.000, 12.27
1-10-24, 09:00:23, 0.000, 12.27
1-10-24, 09:00:24, 0.000, 12.27
1-10-24, 09:00:25, 0.000, 12.27
1-10-24, 09:00:26, 0.000, 12.26
1-10-24, 09:00:27, 0.000, 12.26
1-10-24, 09:00:28, 0.000, 12.26
1-10-24, 09:00:29, 0.000, 12.26
1-10-24, 09:00:30, -0.003, 12.26
1-10-24, 09:00:31, -0.003, 12.26
1-10-24, 09:00:32, 0.000, 12.26
1-10-24, 09:00:33, 0.000, 12.26
1-10-24, 09:00:34, 0.000, 12.26
1-10-24, 09:00:35, 0.000, 12.26
1-10-24, 09:00:36, 0.000, 12.26
1-10-24, 09:00:37, 0.000, 12.26
1-10-24, 09:00:38, 0.000, 12.25
1-10-24, 09:00:39, 0.000, 12.24
1-10-24, 09:00:40, 0.000, 12.24
1-10-24, 09:00:41, 0.000, 12.24
1-10-24, 09:00:42, 0.000, 12.25
1-10-24, 09:00:43, 0.000, 12.24
1-10-24, 09:00:44, 0.000, 12.24
1-10-24, 09:00:45, 0.000, 12.24
1-10-24, 09:00:46, 0.000, 12.24
1-10-24, 09:00:47, -0.003, 12.24
1-10-24, 09:00:48, 0.000, 12.24
1-10-24, 09:00:49, 0.000, 12.24
