time,seconds_elapsed,relativeAltitude,pressure
1727468616374437000,-0.53056298828125,0,1008.7793731689453
1727468625988601000,9.08360107421875,0.05812835693359375,1008.7723541259766
1727468635536393200,18.631393310546876,0.0660552978515625,1008.7715911865234
1727468645084527000,28.179527099609373,0.12154388427734375,1008.7651062011719
1727468654632909000,37.72790893554688,0.13739776611328125,1008.7629699707031
1727468665132034000,48.22703393554688,0.2721595764160156,1008.7468719482422
1727468674713490000,57.80848999023438,0.208740234375,1008.7543487548828
1727469459272539100,842.3675390625,0.6420822143554688,1008.7026214599609
1727469468888531000,851.9835310058594,2.3120269775390625,1008.5028839111328
1727469478438089200,861.5330891113281,2.1455612182617188,1008.5226440429688
1727469488087516200,871.1825161132813,2.1455612182617188,1008.5226440429688
1727469497636787200,880.731787109375,2.148204803466797,1008.5223388671875
1727469507186662000,890.2816618652344,2.0821456909179688,1008.5303497314453
1727469517180449000,900.2754489746094,2.3807296752929688,1008.4946441650391
1727469537229672200,920.3246721191406,2.3675155639648438,1008.4959411621094
1727469546845330000,929.9403298339844,2.6713829040527344,1008.4598541259766
1727469556395316200,939.4903161621094,2.2856063842773438,1008.5059356689453
1727469565944708000,949.0397080078125,2.3358078002929688,1008.4999084472656
1727469575493457200,958.58845703125,2.8431358337402344,1008.4390258789062
1727469585042776000,968.1377761230468,2.8642730712890625,1008.4367370605469
1727469594592244200,977.687244140625,2.721588134765625,1008.4538269042969
1727470789330023200,2172.4250231933593,2.68988037109375,1008.4574127197266
